sample,spec,se_type,status,error_message,min_eigenvalue,max_eigenvalue,n_negative_eigenvalues,eigenvalue_ratio_abs_min_to_max,repair_required,vcov_repaired
main_1972_start,minimal_full_panel,heteroskedastic,ok,NA,2.2323888029852207e-6,6.80697477552144e-5,0,0.03279560857215328,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz,ok,NA,8.844430936487922e-8,1.5644739419305124e-4,0,5.653293864117781e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_state,ok,NA,6.244037640557328e-8,2.73218049621074e-4,0,2.2853679137294119e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.028184525402244e-5,1.367403099385562e-4,10,0.29458647031093427,TRUE,FALSE
main_1972_start,minimal_full_panel,newey_west_lag1,ok,NA,1.2362021098494714e-6,8.17767575413636e-5,0,0.015116790479546546,FALSE,FALSE
main_1972_start,minimal_full_panel,driscoll_kraay_lag1,ok,NA,8.856624225959867e-36,3.680940088147056e-31,0,2.4060767124352173e-5,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_250km,ok,NA,8.366316676711944e-8,2.9067202553516297e-4,0,2.878266892491125e-4,FALSE,FALSE
main_1972_start,minimal_full_panel,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-5.694662959980063e-6,4.6778798542956667e-4,2,0.01217359816274608,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.142522177504536e-6,5.329694271927753e-4,4,0.007772532468370242,TRUE,FALSE
main_1972_start,minimal_full_panel,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-7.2837246191281754e-6,6.20942260170604e-4,4,0.011730115803564362,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,ok,NA,1.0686762714856044e-6,0.0013235869612598745,0,8.07409186373648e-4,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,ok,NA,3.395849541703905e-8,0.0016267812153377124,0,2.0874654253976876e-5,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_state,ok,NA,-5.0898725496800544e-20,0.004007046206126753,1,1.2702305608299864e-17,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,repair_required,Unrepaired VCOV is not positive semidefinite.,-4.382843171976456e-4,9.466880912830991e-4,35,0.4629659137294253,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,ok,NA,6.499326262048837e-7,0.001381888339142507,0,4.7032210041527783e-4,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,driscoll_kraay_lag1,ok,NA,-5.276352032342707e-43,1.2590436980147566e-27,17,4.1907616396971674e-16,FALSE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_250km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.074277810435513e-5,0.004607227720800643,7,0.0023317228397141724,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_500km,repair_required,Unrepaired VCOV is not positive semidefinite.,-8.345036351213428e-5,0.006558046005067342,18,0.012724882296899555,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_750km,repair_required,Unrepaired VCOV is not positive semidefinite.,-1.8519056157761677e-4,0.007120697984903914,21,0.026007360791066567,TRUE,FALSE
main_1972_start,interacted_core_controls_diagnostic,conley_1000km,repair_required,Unrepaired VCOV is not positive semidefinite.,-3.335390685622669e-4,0.005639850783611804,22,0.059139697371331144,TRUE,FALSE
main_1972_start,interacted_controls_full_panel,heteroskedastic,ok,NA,1.0389234609547653e-6,0.0019599887398488803,0,5.300660354991981e-4,FALSE,FALSE
main_1972_start,interacted_controls_full_panel,cluster_cz,ok,NA,1.915531025559778e-8,0.0024289437299672935,0,7.886271723493453e-6,FALSE,FALSE
